track,config,vs,seed,n,prevalence,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p,blockboot_diff,blockboot_ci95,blockboot_p_two_sided,blockboot_n_blocks,blockboot_n_boot
B3,diff,nophys,43,856596,0.02463821918383929,0.891989736932197,0.9043033145743221,-0.01231357764212515,0.00038657638350290464,"[-0.013071267353790843, -0.011555887930459459]",-31.852896782124898,1.2001794299504643e-222,,,,,
B3,diff,nophys,44,856596,0.02463821918383929,0.879161716048418,0.903668966325184,-0.024507250276766035,0.0005666094218406564,"[-0.02561780474357372, -0.02339669580995835]",-43.2524580991843,0.0,,,,,
B3,diffadv,nophys,42,856596,0.02463821918383929,0.8946137717790393,0.9050933777416321,-0.010479605962592786,0.00034291298502790794,"[-0.011151715413247486, -0.009807496511938086]",-30.56053990413896,4.096265028276981e-205,,,,,
B3,diffadv,nophys,43,856596,0.02463821918383929,0.8948200342275061,0.9043033145743221,-0.009483280346816003,0.0003394828537570612,"[-0.010148666740179843, -0.008817893953452163]",-27.934489892094447,1.0174070080110697e-171,,,,,
B3,diffadv,nophys,44,856596,0.02463821918383929,0.8929415890987705,0.903668966325184,-0.010727377226413481,0.0003858289834126865,"[-0.011483602033902347, -0.009971152418924616]",-27.803450978537224,3.940397863790593e-170,,,,,
B3,full,nophys,42,856596,0.02463821918383929,0.8952036319473489,0.9050933777416321,-0.009889745794283256,0.0003260266028046312,"[-0.010528757935780333, -0.009250733652786178]",-30.33416816053384,4.063968131679283e-202,,,,,
B3,full,nophys,43,856596,0.02463821918383929,0.8952581081824844,0.9043033145743221,-0.009045206391837701,0.0003344365635389135,"[-0.009700702056373972, -0.00838971072730143]",-27.046104935787746,4.244428120375489e-161,,,,,
B3,full,nophys,44,856596,0.02463821918383929,0.8898373466601512,0.903668966325184,-0.013831619665032768,0.00043017247809753627,"[-0.01467475772210394, -0.012988481607961597]",-32.153660146283514,7.8507034750150455e-227,,,,,
B3orig,full,nophys,42,856596,0.02463821918383929,0.8968202251980062,0.9051291179819642,-0.008308892783957966,0.0003072601749297519,"[-0.00891112272682028, -0.007706662841095653]",-27.041880015389587,4.758924072089817e-161,,,,,
B3orig,full,nophys,43,856596,0.02463821918383929,0.8962478680832141,0.9047277945300106,-0.008479926446796515,0.00032071555760248714,"[-0.00910852893969739, -0.00785132395389564]",-26.44064575534877,4.674448720662671e-154,,,,,
B3orig,full,nophys,44,856596,0.02463821918383929,0.8891171912155551,0.9035631536712847,-0.0144459624557296,0.0003943081894819686,"[-0.015218806507114258, -0.013673118404344941]",-36.63622222685335,7.584110802366154e-294,,,,,
