track,cdr,classical,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p,blockboot_diff,blockboot_ci95,blockboot_p_two_sided,blockboot_n_blocks,blockboot_n_boot
A,A_nophys_s44,LogReg_v2agg,0.9433378322057883,0.956080868241999,-0.012743036036210742,0.0033530184011861495,"[-0.019314952102535594, -0.006171119969885889]",-3.8004670751889758,0.00014442360741143226,,,,,
B1,B1_full_s42,RF_cdr7,,,,,,,,-0.2555321933997541,"[-0.2987557785918381, -0.2126075244573933]",0.0,123.0,300.0
B1,B1_nophys_s42,RF_cdr7,,,,,,,,-0.2592611544173854,"[-0.30015866541984143, -0.217608465488933]",0.0,123.0,300.0
B1,B1_full_s43,RF_cdr7,,,,,,,,-0.2523525851689751,"[-0.3001890378561862, -0.21155189446538197]",0.0,123.0,300.0
B1,B1_nophys_s43,RF_cdr7,,,,,,,,-0.2571216059448078,"[-0.2983250647604353, -0.21498143408803438]",0.0,123.0,300.0
B1,B1_full_s44,RF_cdr7,,,,,,,,-0.2428494219292,"[-0.28967922583774686, -0.20031635627258185]",0.0,123.0,300.0
B1,B1_nophys_s44,RF_cdr7,,,,,,,,-0.27232648602716747,"[-0.3120983688562542, -0.23209899878737994]",0.0,123.0,300.0
B1,B1_full_s42,MaxEnt_cdr7,,,,,,,,-0.23015897404852093,"[-0.27253830846947574, -0.1862515482941743]",0.0,123.0,300.0
B1,B1_nophys_s42,MaxEnt_cdr7,,,,,,,,-0.23388793506615224,"[-0.2721413449577744, -0.1924461811264942]",0.0,123.0,300.0
B1,B1_full_s43,MaxEnt_cdr7,,,,,,,,-0.22697936581774192,"[-0.2732375415618301, -0.18602164692999001]",0.0,123.0,300.0
B1,B1_nophys_s43,MaxEnt_cdr7,,,,,,,,-0.23174838659357466,"[-0.2708086464888754, -0.1907056263653843]",0.0,123.0,300.0
B1,B1_full_s44,MaxEnt_cdr7,,,,,,,,-0.21747620257796685,"[-0.25883505040736765, -0.1759350817242885]",0.0,123.0,300.0
B1,B1_nophys_s44,MaxEnt_cdr7,,,,,,,,-0.2469532666759343,"[-0.2821551661582005, -0.20567414232286066]",0.0,123.0,300.0
B1,B1_full_s42,LogReg_cdr7,,,,,,,,-0.20196961347300846,"[-0.2421154510038834, -0.16019128806845945]",0.0,123.0,300.0
B1,B1_nophys_s42,LogReg_cdr7,,,,,,,,-0.20569857449063977,"[-0.24285110114190459, -0.16708533401868336]",0.0,123.0,300.0
B1,B1_full_s43,LogReg_cdr7,,,,,,,,-0.19879000524222945,"[-0.2442886610302313, -0.1576831719005197]",0.0,123.0,300.0
B1,B1_nophys_s43,LogReg_cdr7,,,,,,,,-0.2035590260180622,"[-0.24173082392455528, -0.16640559348655387]",0.0,123.0,300.0
B1,B1_full_s44,LogReg_cdr7,,,,,,,,-0.18928684200245438,"[-0.23326472910651186, -0.14894936986414173]",0.0,123.0,300.0
