tag,track,config,seed,forest_auc,forest_ap,forest_n,forest_prev,all_auc
B1_f2_nophys_s43,B1,nophys,43,0.6921568561001435,0.8324668086314725,5110,0.7158512720156556,0.7403983963053488
B1_f0_nophys_s44,B1,nophys,44,0.7157399246053593,0.8278383245616641,4310,0.671461716937355,0.7107810762536624
B1_f1_nophys_s44,B1,nophys,44,0.7114816239418178,0.7262194754964544,4921,0.5267222109327373,0.7267130031580751
B1_f2_nophys_s44,B1,nophys,44,0.6630297833948612,0.8079694219159036,5110,0.7158512720156556,0.6982794703651997
B1_f0_diff_s42,B1,diff,42,0.7199140096986167,0.8443823764295887,4310,0.671461716937355,0.7346086352143033
B1_f1_diff_s42,B1,diff,42,0.6616256414028168,0.6897639731246409,4921,0.5267222109327373,0.6569256937296765
B1_f2_diff_s42,B1,diff,42,0.5776043525869561,0.7840156069380655,5110,0.7158512720156556,0.5704122717975306
B1_f0_diff_s43,B1,diff,43,0.6825336806328308,0.8160826126093339,4310,0.671461716937355,0.6716134976538539
B1_f1_diff_s43,B1,diff,43,0.6750837534256741,0.7025707569861139,4921,0.5267222109327373,0.6835720800982708
B1_f2_diff_s43,B1,diff,43,0.5544913070262243,0.7682050924669406,5110,0.7158512720156556,0.5757936808642506
B1_f0_diff_s44,B1,diff,44,0.6921666539772527,0.8197363674279883,4310,0.671461716937355,0.6839930753274834
B1_f1_diff_s44,B1,diff,44,0.658383426363246,0.6873235829634159,4921,0.5267222109327373,0.6505564698079533
B1_f2_diff_s44,B1,diff,44,0.5522451075193509,0.7612410398450545,5110,0.7158512720156556,0.5515615886760685
B1_f0_diffadv_s42,B1,diffadv,42,0.7144326709459274,0.8306643116598627,4310,0.671461716937355,0.7303179947984698
B1_f1_diffadv_s42,B1,diffadv,42,0.6936616580262817,0.7165357140648776,4921,0.5267222109327373,0.7275818032213245
B1_f2_diffadv_s42,B1,diffadv,42,0.6860474683210653,0.8306567817106029,5110,0.7158512720156556,0.726910284803646
B1_f0_diffadv_s43,B1,diffadv,43,0.732005679000777,0.8354751705024905,4310,0.671461716937355,0.749396679479879
B1_f1_diffadv_s43,B1,diffadv,43,0.7174618935165307,0.7540686475059621,4921,0.5267222109327373,0.7534839116793141
B1_f2_diffadv_s43,B1,diffadv,43,0.6562617200384983,0.8069990246371128,5110,0.7158512720156556,0.6777430854796249
B1_f0_diffadv_s44,B1,diffadv,44,0.7463266587016193,0.8435434766140814,4310,0.671461716937355,0.7649703305712494
B1_f1_diffadv_s44,B1,diffadv,44,0.6973053296068359,0.7200710474281498,4921,0.5267222109327373,0.7224199537049916
B1_f2_diffadv_s44,B1,diffadv,44,0.6926025941104971,0.8389579098994523,5110,0.7158512720156556,0.715716881163823
B1_f0_full_s42,B1,full,42,0.717460682339069,0.8254156652181196,4310,0.671461716937355,0.7013872218603918
B1_f1_full_s42,B1,full,42,0.6891667859357855,0.7221280263472689,4921,0.5267222109327373,0.7237345738209194
B1_f2_full_s42,B1,full,42,0.6859777129112086,0.8337662495831141,5110,0.7158512720156556,0.7132347977878557
B1_f0_full_s43,B1,full,43,0.7209784563035152,0.8355041093706583,4310,0.671461716937355,0.7372034210835732
B1_f1_full_s43,B1,full,43,0.6978822939692233,0.7106399198155958,4921,0.5267222109327373,0.7202455743758154
B1_f2_full_s43,B1,full,43,0.680607581857644,0.8285974264360381,5110,0.7158512720156556,0.6908492392026109
B1_f0_full_s44,B1,full,44,0.7179731394390889,0.8295173425796709,4310,0.671461716937355,0.7295571877386425
B1_f1_full_s44,B1,full,44,0.7132616327147241,0.7404722719638179,4921,0.5267222109327373,0.7367348402880773
B1_f2_full_s44,B1,full,44,0.68721918976032,0.8213788890660052,5110,0.7158512720156556,0.7132851023337171
B2_r0_nophys_s42,B2,nophys,42,0.5297415441126269,0.4472189370105937,2246,0.3668744434550312,0.5071234268974383
B2_r1_nophys_s42,B2,nophys,42,0.6014482525850695,0.8155682732589308,3287,0.7627015515667782,0.6171698101127031
B2_r2_nophys_s42,B2,nophys,42,0.49662880970526097,0.6390430811162339,1866,0.635048231511254,0.4904056561104675
B2_r3_nophys_s42,B2,nophys,42,0.76241230017762,0.8927232541304678,2163,0.7397133610725843,0.8007798845193509
B2_r4_nophys_s42,B2,nophys,42,0.8222621042821328,0.8116024063326992,2011,0.5082048731974143,0.7624311990707328
B2_r5_nophys_s42,B2,nophys,42,0.5758662333210343,0.7711833623665815,2768,0.7247109826589595,0.5485830275405643
B2_r0_nophys_s43,B2,nophys,43,0.5643297761937924,0.45827183222507467,2246,0.3668744434550312,0.5617408503472534
B2_r1_nophys_s43,B2,nophys,43,0.6579029998056722,0.8433607251719655,3287,0.7627015515667782,0.6289326422714125
B2_r2_nophys_s43,B2,nophys,43,0.48187760615129155,0.6365036746625947,1866,0.635048231511254,0.4475216136967245
B2_r3_nophys_s43,B2,nophys,43,0.7552630994671403,0.8818583154750266,2163,0.7397133610725843,0.7718250624219726
B2_r4_nophys_s43,B2,nophys,43,0.8956031018305074,0.8547457874054498,2011,0.5082048731974143,0.8063839412447593
B2_r5_nophys_s43,B2,nophys,43,0.5637176397317234,0.7761937731623445,2768,0.7247109826589595,0.5703929325478021
B2_r0_nophys_s44,B2,nophys,44,0.5033160426310543,0.4153759244570103,2246,0.3668744434550312,0.48814157175739104
B2_r1_nophys_s44,B2,nophys,44,0.601830259887699,0.8123725943020944,3287,0.7627015515667782,0.5725839110412508
B2_r2_nophys_s44,B2,nophys,44,0.4659206800622069,0.6203637061977202,1866,0.635048231511254,0.4362423993358534
B2_r3_nophys_s44,B2,nophys,44,0.7426376554174068,0.87305111097417,2163,0.7397133610725843,0.7407131710362047
B2_r4_nophys_s44,B2,nophys,44,0.846532998007436,0.8206895011376445,2011,0.5082048731974143,0.7789929915846909
B2_r5_nophys_s44,B2,nophys,44,0.5588631088362209,0.766694229568416,2768,0.7247109826589595,0.5287477422187338
B2_r0_full_s42,B2,full,42,0.5067592478800541,0.45132462277542823,2246,0.3668744434550312,0.47152854585371845
B2_r1_full_s42,B2,full,42,0.6692233540957115,0.8465911141055757,3287,0.7627015515667782,0.6021674651334398
B2_r2_full_s42,B2,full,42,0.41654491719176934,0.5847396457362323,1866,0.635048231511254,0.42960477136895214
B2_r3_full_s42,B2,full,42,0.6744849023090584,0.8396997072454839,2163,0.7397133610725843,0.7323907615480649
B2_r4_full_s42,B2,full,42,0.5824242796000625,0.6230393223509527,2011,0.5082048731974143,0.6299057299961732
B2_r5_full_s42,B2,full,42,0.6145677141802938,0.7869725580977835,2768,0.7247109826589595,0.5931209728227769
B2_r0_full_s43,B2,full,43,0.5052721280024033,0.40986641912101096,2246,0.3668744434550312,0.4663235650680723
B2_r1_full_s43,B2,full,43,0.6384733003999059,0.8332533483792186,3287,0.7627015515667782,0.634587563766629
B2_r2_full_s43,B2,full,43,0.4549142796954095,0.603238865753155,1866,0.635048231511254,0.4348595478748844
B2_r3_full_s43,B2,full,43,0.6994404973357016,0.8085276961592259,2163,0.7397133610725843,0.7466916354556803
B2_r4_full_s43,B2,full,43,0.5039010326903175,0.5589685585805607,2011,0.5082048731974143,0.5839521060604369
B2_r5_full_s43,B2,full,43,0.6062239789816901,0.7995929090888125,2768,0.7247109826589595,0.5618892345029738
B2_r0_full_s44,B2,full,44,0.449984552728961,0.34858500488554167,2246,0.3668744434550312,0.37852326813406534
B2_r1_full_s44,B2,full,44,0.6755748008141307,0.8470299672773465,3287,0.7627015515667782,0.6253942846532712
B2_r2_full_s44,B2,full,44,0.47423310222618764,0.6176596981475371,1866,0.635048231511254,0.4777518566936033
B2_r3_full_s44,B2,full,44,0.6863809946714031,0.8175270406907809,2163,0.7397133610725843,0.7463342696629214
B2_r4_full_s44,B2,full,44,0.4855079059478134,0.5642450151430092,2011,0.5082048731974143,0.5838495834978601
B2_r5_full_s44,B2,full,44,0.5968897768636349,0.7757564800603098,2768,0.7247109826589595,0.5626413042085858
B3_nophys_s42,B3,nophys,42,0.8494607502787042,0.15628141018915565,544958,0.03872408515885628,0.905093377741632
B3_nophys_s43,B3,nophys,43,0.8481960340676848,0.15446017940222492,544958,0.03872408515885628,0.904303314574322
B3_nophys_s44,B3,nophys,44,0.8472759720228493,0.1518139608716087,544958,0.03872408515885628,0.903668966325184
B3_diff_s42,B3,diff,42,0.8232587691777357,0.13792590423391066,544958,0.03872408515885628,0.8854173707622436
B3_diff_s43,B3,diff,43,0.8318768855806361,0.14162655736723712,544958,0.03872408515885628,0.891989736932197
B3_diff_s44,B3,diff,44,0.8140828328696436,0.13107547648484494,544958,0.03872408515885628,0.879161716048418
B3_diffadv_s42,B3,diffadv,42,0.83440973924201,0.14339907516092953,544958,0.03872408515885628,0.8946137717790394
B3_diffadv_s43,B3,diffadv,43,0.8347235307475058,0.14292594083168333,544958,0.03872408515885628,0.8948200342275061
B3_diffadv_s44,B3,diffadv,44,0.8320937092410965,0.13978616399431415,544958,0.03872408515885628,0.8929415890987706
B3_full_s42,B3,full,42,0.8352117267610306,0.1442309083926663,544958,0.03872408515885628,0.8952036319473488
B3_full_s43,B3,full,43,0.8351800835423471,0.1422780347161087,544958,0.03872408515885628,0.8952581081824844
B3_full_s44,B3,full,44,0.8275752329107288,0.13784326910682218,544958,0.03872408515885628,0.8898373466601512
B3orig_nophys_s42,B3orig,nophys,42,0.8495597152450077,0.15636888842849184,544958,0.03872408515885628,0.9051291179819642
B3orig_nophys_s43,B3orig,nophys,43,0.8489341400292721,0.15576231063184526,544958,0.03872408515885628,0.9047277945300106
B3orig_nophys_s44,B3orig,nophys,44,0.8472235251560999,0.15199339869147596,544958,0.03872408515885628,0.9035631536712847
B3orig_full_s42,B3orig,full,42,0.8375837232405883,0.14639917349615586,544958,0.03872408515885628,0.8968202251980062
B3orig_full_s43,B3orig,full,43,0.8365942251843683,0.1433717146089506,544958,0.03872408515885628,0.8962478680832142
B3orig_full_s44,B3orig,full,44,0.8266293667709965,0.13795529134153603,544958,0.03872408515885628,0.8891171912155551
